"","marca","modelo","pvp","cilindro","cc","potencia","rpm","peso","plazas","cons90","cons120","consurb","velocida","acel2"
"1","1","Rocsta 1.8",2274590,4,1789,85,5500,1220,4,9,9.41,12,160,"2"
"2","1","Rocsta 2.2 DX techo",2161913,4,2184,72,4250,1270,4,8,9.41,12,130,"2"
"3","1","Rocsta 2.2 DX techo",2274590,4,2184,72,4250,1270,4,8,9.41,12,130,"2"
"4","2","Blazer Aut.",4745000,6,4300,193,4400,1915,5,9.6,12.6,15.6,180,"2"
"5","3","Feroza SX 16V",2693460,4,1589,95,6000,1250,4,7.6,11.9,10.5,150,"2"
"6","4","Maverick 2.4 GLX 5p",4461000,4,2389,124,5200,1750,7,8.7,12.3,13.3,160,"2"
"7","4","Maverick 2.7 TD GL 3",3413000,4,2663,100,4000,1745,5,7.5,11.8,10.3,140,"2"
"8","4","Maverick 2.7 TD GLS",3783000,4,2663,100,4000,1875,5,7.5,11.8,10.3,140,"2"
"9","4","Maverick 2.7 TD GL 5",3935000,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,"2"
"10","4","Maverick 2.7 TD GLS",4367000,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,"2"
"11","4","Maverick 2.7 TD GLX",4561000,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,"2"
"12","4","Explorer 4.0 V6 XLT",4763000,6,3958,156,4200,2100,5,9.2,13.1,16.7,170,"2"
"13","5","Wrangler 2.5 S Techo",2536166,4,2464,121,5300,1395,4,10.6,14.5,15.9,150,"2"
"14","5","Wrangler 2.5 S Techo",2751189,4,2464,121,5300,1370,4,10.6,14.5,15.9,150,"2"
"15","5","Wrangler 4.0",3250856,6,3960,181,3960,1455,4,11.1,15.5,19.4,170,"1"
"16","5","Cherokee 2.5 Jambore",3761075,4,2464,122,5300,1500,5,10.6,14.5,15.9,150,"2"
"17","5","Cherokee 4.0 Jambore",3910944,6,3960,184,4750,1500,5,10.2,13.9,18.5,180,"2"
"18","5","Cherokee 2.5 TD 3p",3746643,4,2499,115,4000,1450,5,7.1,10.5,9.8,162,"2"
"19","5","Cherokee 2.5 TD Jamb",3131751,4,2499,115,4000,1470,5,7.1,10.5,9.8,162,"2"
"20","5","Grand Cherokee 4.0 L",4755077,6,3960,185,4700,1648,5,10.2,13.9,18.5,180,"2"
"21","5","Grand Cherokee Limit",6378525,8,5216,212,4750,1648,5,10.8,14.9,19.6,180,"1"
"22","5","Grand Cherokee 2.5 T",4811516,4,2499,115,3900,1775,5,7.9,11.5,12.3,160,"2"
"23","6","Sportage 2.0i",2721000,4,1998,99,5000,1493,5,9.3,12.5,13.5,147,"2"
"24","6","Sportage 2.0i 16V",2821000,4,1998,135,6000,1513,5,8.5,11.9,13,168,"2"
"25","7","Niva 1.7i",1482372,4,1690,80,5200,1200,5,8.6,12,10.6,137,"2"
"26","7","Niva 1.9 Diesel",1984752,4,1905,64,4600,1180,5,7.2,9.12,8.5,127,"2"
"27","8","Defender 90 TDI t. l",3062000,4,2495,112,4000,1695,6,9.9,8.6,13.6,130,"2"
"28","8","Defender 90 TDI Pick",3062000,4,2495,112,4000,1694,2,9.9,8.6,13.6,130,"2"
"29","8","Defender 90 TDI t. d",3255000,4,2495,112,4000,1746,6,9.9,8.6,13.6,130,"2"
"30","8","Defender 110 TDI Pic",3255000,4,2495,112,4000,1880,2,9.7,9.7,14.6,125,"2"
"31","8","Defender 110 TDI PU",3445000,4,2495,112,4000,1917,2,9.7,9.7,14.6,125,"2"
"32","8","Defender 110 TDI t.d",3523000,4,2495,112,4000,1913,8,9.7,9.7,14.6,125,"2"
"33","8","Defender 110 TDI 5p",3781000,4,2495,112,4000,2018,9,9.7,9.7,14.6,125,"2"
"34","8","Discovery TDI Base 3",3619000,4,2495,112,4000,2000,5,6.6,10,8.6,146,"2"
"35","8","Discovery TDI Base 5",4338000,4,2495,112,4000,2050,8,6.6,10,8.6,146,"2"
"36","8","Discovery TDI Lujo 5",4584000,4,2495,112,4000,2065,8,6.6,10,8.6,146,"2"
"37","8","Range Rover 4.0 SE",7932000,8,3950,190,4750,2090,5,10.4,13.5,18.6,188,"2"
"38","8","Range Rover 4.6 HSE",9560000,8,4554,225,4750,2220,5,11.4,14.1,22.1,196,"2"
"39","8","Range Rover Classic",4866000,4,2495,112,4000,1981,5,8.6,10.2,9.7,150,"2"
"40","8","Range Rover 2.5 DT",7459000,6,2497,134,4400,2115,5,7.5,11.2,10.9,167,"2"
"41","8","Range Rover 2.5 DSE",7932000,6,2497,134,4400,2115,5,7.5,11.2,10.9,167,"2"
"42","9","GE 320 techo lona",9359360,6,3199,210,5500,2090,5,13.7,18.5,17.7,175,"2"
"43","9","GE 320 Corto",9349120,6,3199,210,5500,2145,5,13.7,18.5,17.7,175,"2"
